Philippines,Asia & Pacific,Global South
Pakistan,Asia & Pacific,Global South
Poland,Europe,Global North
Saint Pierre and Miquelon,North America,Global North
Pitcairn Islands,Asia & Pacific,Global South
Puerto Rico,South/Latin America,Global South
Palestinian Territory,Arab States,Global South
Portugal,Europe,Global North
Palau,Asia & Pacific,Global South
Paraguay,South/Latin America,Global South
Qatar,Arab States,Global South
Reunion,Asia & Pacific,Global South
Romania,Europe,Global North
Russian Federation,Europe,Global North
Rwanda,Africa,Global South
Saudi Arabia,Arab States,Global South
Solomon Islands,Asia & Pacific,Global South
Seychelles,Africa,Global South
South Sudan,Africa,Global South
Sudan,Arab States,Global South
Sweden,Europe,Global North
Singapore,Asia & Pacific,Global North
Saint Helena,Africa,Global South
Slovenia,Europe,Global North
Svalbard and Jan Mayen,Europe,Global North
Slovakia,Europe,Global North
Sierra Leone,Africa,Global South
San Marino,Europe,Global North
Senegal,Africa,Global South
Somalia,Arab States,Global South
Suriname,South/Latin America,Global South
Sao Tome and Principe,Africa,Global South
El Salvador,South/Latin America,Global South
Syrian Arab Republic,Asia & Pacific,Global South
Swaziland,Africa,Global South
Turks and Caicos Islands,South/Latin America,Global South
Chad,Africa,Global South
French Southern Territories,Asia & Pacific,Global South
Togo,Africa,Global South
Thailand,Asia & Pacific,Global South
Tajikistan,Asia & Pacific,Global South
Tokelau,Asia & Pacific,Global South
Turkmenistan,Asic & Pacific,Global South
Tunisia,Arab States,Global South
Tonga,Asia & Pacific,Global South
Timor-Leste,Asia & Pacific,Global South
Turkey,Europe,Global North
Trinidad and Tobago,South/Latin America,Global South
Tuvalu,Asia & Pacific,Global South
Taiwan,Asia & Pacific,Global North
"Tanzania, United Republic of",Africa,Global South
Ukraine,Europe,Global South
Uganda,Africa,Global South
United States Minor Outlying Islands,Asia & Pacific,Global South
United States,North America,Global North
Uruguay,South/Latin America,Global South
Uzbekistan,Asia & Pacific,Global South
Holy See (Vatican City State),Europe,Global North
Saint Vincent and the Grenadines,South/Latin America,Global South
Venezuela,South/Latin America,Global South
"Virgin Islands, British",South/Latin America,Global South
"Virgin Islands, U.S.",South/Latin America,Global South
Vietnam,Asia & Pacific,Global South
Vanuatu,Asia & Pacific,Global South
Wallis and Futuna,Asia & Pacific,Global South
Samoa,Asia & Pacific,Global South
Yemen,Arab States,Global South
Mayotte,Africa,Global South
Serbia,Europe,Global North
South Africa,Africa,Global South
Zambia,Africa,Global South
Montenegro,Europe,Global North
Zimbabwe,Africa,Global South
Aland Islands,Europe,Global North
Guernsey,Europe,Global North
Isle of Man,Europe,Global North
Jersey,Europe,Global North
Saint Barthelemy,South/Latin America,Global South
Saint Martin,South/Latin America,Global South
Anonymous Proxy,Unknown,Unknown
Satellite Provider,Unknown,Unknown
Other,Unknown,Unknown
Asia/Pacific Region,Asia & Pacific,Unknown
Europe,Europe,Unknown
Invalid IP,Unknown,Unknown
Libyan Arab Jamahiriya,Unknown,Unknown
"Bonaire, Saint Eustatius and Saba",Unknown,Unknown
Sint Maarten (Dutch part),Unknown,Unknown
Curaçao,Unknown,Unknown
