Rank,Country,(YEARS),Date of Information
77,Morocco,77.1,2017 est.
78,Algeria,77,2017 est.
79,Ecuador,77,2017 est.
80,Aruba,76.9,2017 est.
81,Bosnia and Herzegovina,76.9,2017 est.
82,Sri Lanka,76.9,2017 est.
83,Estonia,76.9,2017 est.
84,Antigua and Barbuda,76.7,2017 est.
85,Libya,76.7,2017 est.
86,Georgia,76.4,2017 est.
87,Tonga,76.4,2017 est.
88,Macedonia,76.4,2017 est.
89,Croatia,76.1,2017 est.
90,Mexico,76.1,2017 est.
91,Hungary,76.1,2017 est.
92,Venezuela,76,2017 est.
93,Cook Islands,76,2017 est.
94,Guam,76,2017 est.
95,Saint Kitts and Nevis,75.9,2017 est.
96,Colombia,75.9,2017 est.
97,Maldives,75.8,2017 est.
98,Mauritius,75.8,2017 est.
99,Oman,75.7,2017 est.
100,Serbia,75.7,2017 est.
101,Tunisia,75.7,2017 est.
102,China,75.7,2017 est.
103,Solomon Islands,75.6,2017 est.
104,Saint Vincent and the Grenadines,75.5,2017 est.
105,Saudi Arabia,75.5,2017 est.
106,Barbados,75.5,2017 est.
107,Northern Mariana Islands,75.4,2017 est.
108,Romania,75.4,2017 est.
109,Malaysia,75.2,2017 est.
110,West Bank,75.2,2017 est.
111,Syria,75.1,2017 est.
112,Lithuania,75,2017 est.
113,Turkey,75,2017 est.
114,Armenia,74.9,2017 est.
115,El Salvador,74.9,2017 est.
116,Thailand,74.9,2017 est.
117,Iraq,74.9,2017 est.
118,Seychelles,74.9,2017 est.
119,Jordan,74.8,2017 est.
120,Bulgaria,74.7,2017 est.
121,Latvia,74.7,2017 est.
122,Montserrat,74.6,2017 est.
123,Grenada,74.5,2017 est.
124,Gaza Strip,74.2,2017 est.
125,Samoa,74,2017 est.
126,Peru,74,2017 est.
127,Uzbekistan,74,2017 est.
128,Brazil,74,2017 est.
129,Iran,74,2017 est.
130,Jamaica,73.7,2017 est.
131,Vanuatu,73.7,2017 est.
132,Vietnam,73.7,2017 est.
133,Nicaragua,73.5,2017 est.
134,American Samoa,73.4,2017 est.
135,Palau,73.4,2017 est.
136,Bangladesh,73.4,2017 est.
137,Marshall Islands,73.4,2017 est.
138,Trinidad and Tobago,73.1,2017 est.
139,"Micronesia, Federated States of",73.1,2017 est.
140,Fiji,73,2017 est.
141,Belarus,73,2017 est.
142,Egypt,73,2017 est.
143,Indonesia,73,2017 est.
144,Azerbaijan,72.8,2017 est.
145,"Bahamas, The",72.6,2017 est.
146,Greenland,72.6,2017 est.
147,Guatemala,72.6,2017 est.
148,Suriname,72.5,2017 est.
149,Cabo Verde,72.4,2017 est.
150,Ukraine,72.1,2017 est.
151,Honduras,71.2,2017 est.
152,Kazakhstan,71.1,2017 est.
153,Nepal,71,2017 est.
154,Russia,71,2017 est.
155,Moldova,71,2017 est.
156,Kyrgyzstan,70.9,2017 est.
157,"Korea, North",70.7,2017 est.
158,Bhutan,70.6,2017 est.
159,Turkmenistan,70.4,2017 est.
160,Mongolia,69.9,2017 est.
161,Bolivia,69.5,2017 est.
162,Philippines,69.4,2017 est.
163,Belize,68.9,2017 est.
164,India,68.8,2017 est.
165,Guyana,68.6,2017 est.
166,Timor-Leste,68.4,2017 est.
167,Burma,68.2,2017 est.
168,Pakistan,68.1,2017 est.
169,Tajikistan,68.1,2017 est.
170,Nauru,67.4,2017 est.
171,Papua New Guinea,67.3,2017 est.
172,Ghana,67,2017 est.
173,Tuvalu,66.9,2017 est.
174,Kiribati,66.5,2017 est.
175,Madagascar,66.3,2017 est.
176,Yemen,65.9,2017 est.
177,Togo,65.4,2017 est.
178,Sao Tome and Principe,65.3,2017 est.
179,Eritrea,65.2,2017 est.
180,"Gambia, The",65.1,2017 est.
181,Cambodia,64.9,2017 est.
182,Comoros,64.6,2017 est.
183,Equatorial Guinea,64.6,2017 est.
184,Laos,64.6,2017 est.
185,Sudan,64.4,2017 est.
186,Kenya,64.3,2017 est.
187,Rwanda,64.3,2017 est.
188,Haiti,64.2,2017 est.
189,Namibia,64,2017 est.
190,South Africa,63.8,2017 est.
191,Djibouti,63.6,2017 est.
192,Western Sahara,63.4,2017 est.
193,Mauritania,63.4,2017 est.
194,Botswana,63.3,2017 est.
195,Liberia,63.3,2017 est.
196,Ethiopia,62.6,2017 est.
197,Tanzania,62.6,2017 est.
198,Benin,62.3,2017 est.
199,Senegal,62.1,2017 est.
200,Malawi,61.7,2017 est.
201,Guinea,61,2017 est.
202,Burundi,60.9,2017 est.
203,Zimbabwe,60.4,2017 est.
204,Mali,60.3,2017 est.
205,Angola,60.2,2017 est.
206,"Congo, Republic of the",59.8,2017 est.
207,Cote d'Ivoire,59,2017 est.
208,Cameroon,59,2017 est.
209,Sierra Leone,58.6,2017 est.
210,"Congo, Democratic Republic of the",57.7,2017 est.
211,Burkina Faso,55.9,2017 est.
212,Uganda,55.9,2017 est.
213,Niger,55.9,2017 est.
214,Nigeria,53.8,2017 est.
215,Mozambique,53.7,2017 est.
216,Lesotho,53,2017 est.
217,Central African Republic,52.8,2017 est.
218,Somalia,52.8,2017 est.
219,Zambia,52.7,2017 est.
220,Swaziland,52.1,2017 est.
221,Gabon,52.1,2017 est.
222,Afghanistan,51.7,2017 est.
223,Guinea-Bissau,51,2017 est.
224,Chad,50.6,2017 est.
