Rank,Country,Score,Electoral processand pluralism,Functioning ofgovernment,Politicalparticipation,Politicalculture,Civilliberties,Category
115,Mozambique,4.02,4.42,2.14,5.00,5.00,3.53,Hybrid regime
Rank,Country,Score,Electoral processand pluralism,Functioning ofgovernment,Politicalparticipation,Politicalculture,Civilliberties,Category
116,Ivory Coast,3.93,4.42,2.14,3.33,5.63,4.12,Authoritarian
=117,Jordan,3.87,3.58,4.29,3.89,4.38,3.24,Authoritarian
=117,Venezuela,3.87,2.17,2.86,6.11,4.38,3.82,Authoritarian
119,Kuwait,3.85,3.17,4.29,3.89,4.38,3.53,Authoritarian
120,Myanmar,3.83,3.67,3.93,3.89,5.63,2.06,Authoritarian
121,Mauritania,3.82,3.00,3.57,5.00,3.13,4.41,Authoritarian
122,Niger,3.76,5.25,1.14,3.33,4.38,4.71,Authoritarian
123,Comoros,3.71,4.33,2.21,4.44,3.75,3.82,Authoritarian
124,Cambodia,3.63,1.33,5.71,2.22,5.63,3.24,Authoritarian
125,Angola,3.62,1.75,2.86,5.56,5.00,2.94,Authoritarian
=126,Gabon,3.61,2.58,2.21,4.44,5.00,3.82,Authoritarian
=126,Cameroon,3.61,4.00,2.86,3.89,4.38,2.94,Authoritarian
128,Algeria,3.56,2.58,2.21,3.89,5.00,4.12,Authoritarian
129,Ethiopia,3.42,0.00,3.57,5.56,5.63,2.35,Authoritarian
130,Egypt,3.36,3.58,3.21,3.33,3.75,2.94,Authoritarian
131,Cuba,3.31,1.33,4.29,3.89,4.38,2.65,Authoritarian
132,Republic of the Congo,3.25,3.17,2.50,3.89,3.75,2.94,Authoritarian
=133,Qatar,3.19,0.00,4.29,2.22,5.63,3.82,Authoritarian
=133,Rwanda,3.19,0.83,5.00,2.78,4.38,2.94,Authoritarian
135,Russia,3.17,2.17,1.79,5.00,2.50,4.41,Authoritarian
136,Zimbabwe,3.16,0.50,2.00,4.44,5.63,3.24,Authoritarian
137,Guinea,3.14,3.50,0.43,4.44,4.38,2.94,Authoritarian
138,Belarus,3.13,0.92,2.86,3.89,5.63,2.35,Authoritarian
139,China,3.10,0.00,5.00,2.78,6.25,1.47,Authoritarian
140,Vietnam,3.08,0.00,3.21,3.89,5.63,2.65,Authoritarian
141,Kazakhstan,3.06,0.50,2.14,4.44,4.38,3.82,Authoritarian
142,Togo,3.05,3.17,0.79,2.78,5.00,3.53,Authoritarian
143,Oman,3.04,0.00,3.93,2.78,4.38,4.12,Authoritarian
144,Swaziland,3.03,0.92,2.86,2.22,5.63,3.53,Authoritarian
145,Djibouti,2.76,0.42,1.79,3.33,5.63,2.65,Authoritarian
146,Bahrain,2.71,0.83,3.21,2.78,4.38,2.35,Authoritarian
147,United Arab Emirates,2.69,0.00,3.57,2.22,5.00,2.65,Authoritarian
148,Azerbaijan,2.65,0.50,2.14,3.33,3.75,3.53,Authoritarian
149,Afghanistan,2.55,2.50,1.14,2.78,2.50,3.82,Authoritarian
150,Iran,2.45,0.00,3.21,4.44,3.13,1.47,Authoritarian
=151,Eritrea,2.37,0.00,2.14,1.67,6.88,1.18,Authoritarian
=151,Laos,2.37,0.83,2.86,1.67,5.00,1.47,Authoritarian
153,Burundi,2.33,0.00,0.43,3.89,5.00,2.35,Authoritarian
154,Libya,2.32,1.00,0.36,1.67,5.63,2.94,Authoritarian
155,Sudan,2.15,0.00,1.79,2.78,5.00,1.18,Authoritarian
156,Yemen,2.07,0.00,0.00,4.44,5.00,0.88,Authoritarian
157,Guinea-Bissau,1.98,1.67,0.00,2.78,3.13,2.35,Authoritarian
158,Uzbekistan,1.95,0.08,1.86,2.22,5.00,0.59,Authoritarian
=159,Saudi Arabia,1.93,0.00,2.86,2.22,3.13,1.47,Authoritarian
=159,Tajikistan,1.93,0.08,0.79,1.67,6.25,0.88,Authoritarian
161,Equatorial Guinea,1.81,0.00,0.43,2.78,4.38,1.47,Authoritarian
162,Turkmenistan,1.72,0.00,0.79,2.22,5.00,0.59,Authoritarian
163,Democratic Republic of the Congo,1.61,0.50,0.71,2.22,3.75,0.88,Authoritarian
164,Central African Republic,1.52,2.25,0.00,1.11,1.88,2.35,Authoritarian
165,Chad,1.50,0.00,0.00,1.11,3.75,2.65,Authoritarian
166,Syria,1.43,0.00,0.00,2.78,4.38,0.00,Authoritarian
167,North Korea,1.08,0.00,2.50,1.67,1.25,0.00,Authoritarian
Rank,Country,Score,Electoral processand pluralism,Functioning ofgovernment,Politicalparticipation,Politicalculture,Civilliberties,Category
